"Category","Reviewer","Question","Answer"
"other","","Are there any known limitations or concerns when using Joy with Shopify's new customer accounts?","Joy works natively with Shopify's new customer accounts, and there are no known limitations or concerns when using Joy with these accounts."
"other","","Can I add and manage custom fields for customer data in Joy?","Joy supports injecting customer tags automatically based on customer status and behavior. For custom fields, you can import them as Customer Tags, which can be used for segmentation in Shopify and synced to Klaviyo."
"widget","","How can I get the link to display the loyalty widget?","You can access the widget using this link: https://us.buydeem.com/#joy-home. Clicking the link will display the widget."
"billing","","Where can I set the discount combination for the member exclusive deal?","You can configure the discount combination in the 'condition' section of the Member exclusive deal setup. If you choose the Product discount, it can be combined with other Product discounts. For more details, refer to the documentation on discount combination logic."
"other","","How can I see the total number of registered members on or before December 31, 2025?","You can check the total number of registered members by going to Analytics > Loyalty members > New members and filtering the data for December 2025. However, we only have the total number of new members, which is 1153, as we do not keep a detailed record of all individual new customers."
"integration","","What does it mean when the Zigpoll app's triggers are not firing as expected?","When setting up workflows in Shopify Flow, the conditions must be met for the workflow to run. In this case, Zigpoll needs to send a trigger to Shopify Flow. If no trigger is received, the workflow cannot proceed to execute actions like adding points in Joy. Since there are no trigger records found in the workflow, it suggests that the Zigpoll triggers are not activating as intended. It's recommended to contact Zigpoll's support team for assistance, as they can provide more expertise on their app's functionality."
"points","","Does Joy offer a way to grant points for historical orders (e.g., bulk adjustment or automatic retroactive crediting)?","Yes, you can set a start date for your Place Order programs to a date in the past to recalculate and grant points. After setting the date, you can sync points for old orders. Additionally, you can sync points for customers who registered or subscribed before the loyalty program was launched."
"rewards","","How can I set up a members-only gift-with-purchase promotion that automatically applies once the order value is reached?","You can use the Milestone function to allow customers to select their gift, which generates a discount applied to their cart. However, the gift can only be given after the order is completed. Alternatively, consider using a Free Gift app that shows gifts when customers reach the required cart value."
"rewards","","How do I set up redeeming programs?","To set up redeeming programs, you can create Discount Amount or Discount Percentage programs within your current plan. Please let me know if you would like to proceed with the setup."
"bug","","Why is the bug of the Free gift program discount still not being fixed?","We are currently investigating the issue with the Free Care Kit and Free Filters (4-Pack) discount. Please provide us with the email address used for the discount redemption, and allow us access to the Discount section in your Shopify settings to check further."
"rewards","","How can we create a new limited-time purchase reward for members without affecting the existing 1:1 points program?","To create a new limited-time purchase reward for members without affecting the existing 1:1 points program, you should create a new order program. Since your account has the rules engine enabled, you can set up multiple order programs without deleting the previous one. Simply click the 'Add Program' button and select 'Order Program' to configure your new reward."
"bug","","How can I fix the 404 page error in the app?","If you're encountering a 404 page error, try opening the app in a new tab to see if the issue persists. If it shows correctly after that, the problem may have been temporary. If the error continues, please reach out for further assistance."
"vip","","Is the application set to be accessible only to members for the specified configuration?","Yes, the application is configured to be accessible only to members because assignment to the VIP tier requires member authentication. You may want to consider disabling this rule if it does not align with your intended access settings."
"billing","","How can I downgrade my paid plan to the free plan?","To downgrade your plan, go to the subscription section, select 'All Plans', and choose to downgrade to the free plan."
"billing","","Why can't I directly cancel my paid plan?","You need to provide a reason for canceling your paid plan, which helps us understand your needs better. Please share your reason for downgrading."
"widget","","How can I customize the design of the loyalty widget to match a specific style?","To customize your widget's design, go to Onsite > Loyalty widget > Widget design. For modifying text content, navigate to Settings > Translations > Widget design to manually edit them. I will also escalate your request to combine the 'Ways to earn' and 'Ways to redeem' blocks into a single block for further review by our development team."
"widget","","How can I create a card-style secondary menu for the loyalty widget?","You can create a card-style secondary menu by designing it within the widget customization options. I will consult with our development team regarding your specific request to include multiple list items with icons and arrows indicating subpages."
"referral","","Can I delay the referral popup by time or trigger it on scroll instead of page load?","Currently, we do not support delaying the referral popup or triggering it on scroll. However, you can set up the Auto-show popup frequency setting. Additionally, we do support excluding the cart page from showing the popup."
"referral","","Can I exclude the cart page from showing the popup?","Yes, you can exclude the cart page from showing the referral popup. Would you like assistance with setting this up?"
"billing","","Can I have more than 14 days of free trial to set up everything for my client's store?","An extensive trial that lasts for months would need more careful consideration. We will need to gather more information about the features you plan to use and your rollout timeline to determine the best approach."
"billing","","Why can't I start a free trial for my development store?","Development stores cannot start free trials of paid apps unless they are on a paid plan with a valid credit card on file. We will follow up with our team for approval to enable the trial manually for your store."
"widget","","How can I hide a widget in the foreground?","You can hide the Joy widget completely, and customers will still be able to access their loyalty information through your loyalty page. Alternatively, if you prefer, the widget can be moved to avoid being hidden by other elements like the WhatsApp icon."
"widget","","Can the points messages in the cart be moved to the topmost product?","The request to change the position of the points messages in the cart has been successfully resolved. Please check the updated layout to ensure everything is functioning as expected."
"widget","","Why are the ways to earn and redeem not shown on the page?","The issue with the ways to earn and redeem not displaying on the loyalty page has been escalated to our development team for investigation. We will keep you updated on any progress regarding this matter."
"widget","","How can I prevent customers from seeing the rewards program before it is fully set up?","To prevent customers from accessing the loyalty program before it's ready, duplicate your current theme into a draft theme. You can configure the loyalty program exclusively within this draft theme, ensuring that the loyalty blocks are only visible there."
"referral","","How does the referral program work and how do I receive my reward?","In the referral program, you submit your email to get a referral link, which you then share with a friend. When your friend clicks the link and submits their email to receive their reward, they must place an order for you to receive your referral reward. To receive notifications about your rewards, ensure that you turn on the email notifications."
"widget","","Is it possible to display only the referral part of the loyalty program?","Yes, you can hide other parts of the loyalty program by going to the Onsite Content settings and disabling the sections you do not want to display. Make sure the referral program is active for it to show up."
"points","","Est-il possible de donner des points de fidélité uniquement aux clients abonnés à un abonnement mensuel ?","Oui, vous pouvez configurer des niveaux exclusifs pour les abonnés payants et mettre en place un programme de commande pour les membres VIP uniquement. Cela signifie que seuls les membres de ces niveaux peuvent recevoir des points pour leurs commandes. Vous pouvez également utiliser le moteur de règles pour définir des conditions spécifiques, comme donner des points aux clients ayant le tag #abonné pour leurs commandes uniques et leurs abonnements."
"points","","Est-ce que les points des clients passés vont remonter ?","Oui, les points des clients passés seront synchronisés. Veuillez patienter pendant que le système effectue la synchronisation des points."
"rewards","","Pourquoi certains clients qui ont laissé un avis n'ont-ils pas reçu leurs points ?","Les points pour les avis ne peuvent être attribués qu'aux clients ayant laissé des avis après le lancement du programme de récompenses de révision, qui a eu lieu le 7 mars. Les anciens avis ne peuvent pas être synchronisés avec notre application."
"bug","","Why is the coupon adding an additional item to my cart and not allowing multiple items from the same point program?","The issue may be related to the minimum purchase amount required for the coupon to apply. Clearing your browser cache resolved the problem for you, but if it occurs again, please let us know so we can investigate further."
"integration","","Will the Joy app work with the new customer accounts since Shopify is removing the legacy version?","Yes, the Joy widget, Loyalty page, and other app features will remain functional. However, the display of app blocks on the Profile page may change to align with the new customer account interface. Currently, there is no opt-in button feature available, which means any customer who provides their email will automatically be classified as a Member."
"points","","How can I see all the points that have been assigned to customers?","You can view all assigned points by going to Customers > Activities > Point Activities > Earned."
"points","","Is it possible to clear out any points from before 02/27?","Yes, you can set it up so that customers only start earning points from 02/27, and any points before that date will be cleared to zero."
"points","","What is the ETA on the retroactive points from Feb 27-Mar 1?","The development team is currently working on the retroactive points request. They have been notified of its priority, but an exact timeframe cannot be provided until their morning shift starts."
"points","","Why does it show zero people joined in the email but new people are visible under customers?","This issue is being investigated by our tech team. Please provide a screenshot of the email and confirm if the dashboard belongs to Joy Loyalty for further assistance."
"widget","","Is there a video I can watch on how to use the app and how my customers will use it?","For store owners, we provide a Quick Start guideline that includes detailed images and videos to help you navigate the app. You can also visit our Demo Store to experience the customer's perspective and see how the widget works in real-time."
"points","","How can I set up my program to reward customers with 1 point for every $1 spent?","To set up this program, go to Reward Programs > Earning Program > Place an Order. In the Rewarding method section, select 'The amount your customer has spent' and set the earning rate to 1 point for every $1 spent. Remember to click 'Save' after making the change."
"points","","What is the difference between loyalty points and store credit in Joy Loyalty?","In Joy, you can reward customers with either loyalty points or store credit. Loyalty points are earned through purchases and can be redeemed for rewards, while store credit provides a real balance that can be used directly at checkout without needing to redeem points. If you want to reward customers with 1 point for every $1 spent, you should use loyalty points."
"billing","","Is there a plan available in Joy Loyalty that allows customers to use their points at checkout without upgrading to Shopify Plus?","Unfortunately, the Redeem at checkout feature requires Shopify Plus, and upgrading the Joy plan alone will not enable it. Without Shopify Plus, customers can still redeem points by generating a discount code and applying it at checkout."
"widget","","How can I integrate points display in the header of my store?","The integration of points in the header has been completed. You can check the result by logging into your customer account. The code has been added to the specified section of your theme."
"widget","","How can I set the loyalty widget to appear without requiring a login?","You can change the widget settings to allow it to appear without requiring a login. This adjustment has already been made for you."
"pos","","Can orders placed on POS contribute to points for customers in the VIP program?","Yes, orders placed on POS can earn points and contribute to tier progress for customers in the VIP program, but this feature is only available in the Advanced plan."
"points","","Why are my purchases in POS not showing rewards in my member profile?","The orders in POS can earn points and tier progress only if you are on the Advanced plan. Ensure that you have signed up for rewards and that your purchases meet the program's conditions."
"rewards","","How can I change the reward system from store credit to points for customer purchases?","You can navigate to the Place Order program in your settings and choose the Loyalty points option. This will allow customers to accumulate points for their purchases, which they can later redeem for coupons. Please note that this change will only apply to orders placed after the adjustment."
"other","","Can I change the confusing text in the loyalty program's activity history?","Yes, you can adjust the messages by accessing the App settings > Translations > Widget > Point history > Activities to make it clearer for customers."
"rewards","","How can I set up redemption thresholds for customers to redeem points only when they have enough points?","You can set up redemption thresholds by accessing the Reward program, then navigating to the Redeem program section to configure the redeem value and other settings. This allows you to specify that customers need a minimum number of points, such as 150 points, to claim a discount."
"points","","How does the coupon expiration date work?","Customers will receive a unique coupon code for each redemption, and its expiration date can be set to never expire, expire after a set duration, or expire on a specific date and time. This feature is available on the paid plans of the app."
"points","","Will points expiration refresh if a customer makes another purchase?","Yes, if you choose the Full point expiration option, when a customer earns or spends points before the expiration date, the expiration timer for their entire balance will reset. This means that if a customer purchases again, their points expiration will be refreshed."
"integration","","Why can't we run a report on our own customers?","Currently, the ability to export customer information for reporting purposes is not available directly in the app. However, our support team can manually export a list for you. We are also working on enabling an export feature in the future."
"bug","","Is the customer lookup feature going to be repaired?","Yes, the issue with the customer lookup feature has been resolved. You should now be able to search for customers effectively. If you encounter any further issues, please let us know."
"widget","","How can I customize the position of the rewards button in the Joy Loyalty app?","To move the floating rewards button, you can go to Joy app → Settings → Widget/Launcher settings and look for a Custom CSS field. You can paste the following code there to adjust its position: #joy-launcher, .joy-launcher { bottom: 120px !important; }. If this doesn't work, please reach out for further assistance."
"widget","","What should I do if I encounter a 404 page when accessing the loyalty program?","If you encounter a 404 page, it may indicate that the loyalty program page is not set up correctly. Ensure that you are accessing the correct link from your live website. If the issue persists, please check your app settings or contact support for further assistance."
"widget","","How can I set up my Joy loyalty program to work effectively in my brick-and-mortar store?","To set up your Joy loyalty program for in-store use, you should review the loyalty widget and consider implementing a badge on your menu to inform customers about the loyalty program. This will enhance customer engagement both in-store and online."
"widget","","Why does the 'My Rewards' block not appear on my loyalty page when I preview it on Shopify?","The 'My Rewards' block will only be displayed when there are available rewards or coupons. If there are no rewards yet, the block will not appear on the page. You can create a coupon by redeeming your points, which will then make the block visible."
"vip","","Why is my tier progress bar not updating correctly after receiving entry rewards?","The tier progress bar does not count entry reward points towards VIP Points Earned. Only points earned from actions, such as the Sign-up program, are counted. The entry reward points are granted when entering a tier but are not included in the tier progression calculation."
"points","","How do I set up earning programs for my loyalty program?","To set up earning programs, navigate to Reward Program > Earning Program in your Joy Loyalty dashboard. You can activate various programs depending on your subscription plan, including 'Place an Order' for rewarding purchases, 'Birthday Rewards' for gifting points on customers' birthdays, 'Sign-up Bonus' for new account creations, and 'Social Follows & Shares' for social media engagement. Click 'Turn On' for the specific program you wish to enable."
"billing","","What is the SLA for our subscription level?","We don't currently offer formal SLA tiers, but for Advanced plan merchants, our target is to respond within 4-6 business hours and escalate technical issues within 24 hours."
"points","","Why are purchases still tagged by Loyalzoo while Joy is the only loyalty app installed?","There may be an issue with the Loyalzoo app still being active or not fully uninstalled. Please verify if their app is still active or uninstalled, as it could be causing the tagging."
"points","","Why is the point redemption program not appearing in Shopify POS?","The redemption programs are configured to work only in the Online Store. You need to change the purchase location option to 'Online Store & Point of Sale' for the programs to be displayed and used via Shopify POS."
"referral","","Is there a way to set up the referral program so that referees also get points instead of a discount?","Currently, for referees, we only offer rewards in the form of discounts or store credit. Points are not yet available for them, as our points system only applies to registered store members. To ensure referees receive points, consider using our Sign-up program, which automatically awards points when they create an account."
"referral","","How can I set up the point award through Shopify Flow specifically for referees?","Referral rewards for referees are currently limited to discounts or store credit because they are not registered store members when they first receive a referral link. Instead of using Shopify Flow to award points, I recommend utilizing our Sign-up program, which automatically grants points to referees upon account creation."
"analytics","","How can I check the tier changes data in the analytics dashboard?","To check the tier changes data in the analytics dashboard, ensure that you have the latest features enabled. If you don't see the tier changes section, try resetting your cache and reloading the page. If the issue persists, please provide the specific time range you want to check, and I can assist you further."
"bug","","Why can't I see the tier changes feature in the analytics?","If you're unable to see the tier changes feature in the analytics, it may be due to a caching issue or the feature not being properly enabled on your account. Please try resetting your cache and reloading the page. If the problem continues, let us know the specific time range you want to check, and we can investigate further."
"points","","I punti saranno automaticamente accreditati per le attività su Instagram e Facebook, anche se i clienti non commentano o non condividono?","Sì, dopo che i clienti cliccano sulla missione Instagram, verranno ricompensati automaticamente dopo pochi secondi, anche se non commentano o non condividono. Questo è per incoraggiare la partecipazione ai programmi di fedeltà, ma le app di terze parti come la nostra non possono tracciare le reali attività dei clienti."
"points","","Come posso impostare 500 punti extra per tutti gli ordini ricevuti questo weekend?","Ho creato una regola per te che assegnerà 500 punti extra per ogni ordine dal 20/3 fino alla fine del 21/3 (UTC+1 Roma). Puoi rivederla e attivarla quando sei pronto."
"points","","Posso aggiungere un ordine minimo di 50€ per la regola dei punti extra?","Sì, ho aggiunto un requisito di ordine minimo di 50€ per la regola dei 500 punti extra. Ricarica la pagina e controlla la regola per confermare."
"widget","","How can I add a loyalty rewards link to the hamburger menu on my website?","You can add a loyalty rewards link to the hamburger menu by providing us with the desired text for the link, such as 'Bestie Perks.' Once you grant us access to your theme, we can configure it for you."
"bug","","Why does clicking the loyalty button show a random person's name and orders when I'm logged out?","This issue may occur if the loyalty button is not properly configured to direct users to the correct loyalty landing page. It should allow users to sign up or log in instead of displaying random customer information."
"points","","Are points applied to the item(s) only (order amount), not to shipping fees?","Yes, you are correct. Points are awarded based on the order subtotal, which reflects the product value after discounts and excludes shipping fees and tax."
"points","","How can I deliver a confirmation to customers about the points logic?","You can inform customers by stating: 'Points are awarded based on the order subtotal, which reflects the product value after discounts and excludes shipping fees and tax.'"
"widget","","Why is the English translation not displaying correctly for the loyalty widget despite setting English as the default language?","The issue arises because, with your current plan, the app allows selecting only one default language, and the English translation cannot be edited. The system displays content based on the Translation column, which is why the Polish translation appears instead of the expected English text. To display your page/widget in multiple languages, you would need to upgrade to the Advanced plan and use the Detected language feature."
"points","","How can I set up the points calculation to include taxes?","Currently, points are calculated based on the total price of the products, excluding any additional fees such as taxes or shipping. However, we are in the process of implementing a feature to include taxes in the points calculation, which will be available exclusively on our PRO plan and higher."
"other","","How can I export the whole file with customers who are in the program?","You can export all available information, including email addresses, phone numbers, and points. I have exported the file for you and sent a copy to your email at info@tablerie.be for your convenience."
"widget","","How can I configure the widget to display on a specific page?","Currently, there is no way to display the widget only on the account page. This feature has been noted for review by our developers for a future update."
"billing","","How can I get unlimited transactions?","To enable unlimited transactions, please refresh the app page. If the banner is removed, it means that unlimited transactions are operational."
"bug","","Why is the discount disappearing on the cart page after applying a coupon code?","The issue was caused by a conflict between your theme's custom bundle discount function and how Joy applies coupon codes. Although the discount was applied successfully, it visually disappeared on the cart page after reload. A fix has been applied to a duplicate theme for you to review, and it should now work correctly."
"bug","","Is the coupon working correctly on mobile?","The coupon was tested on the draft theme and is confirmed to be working correctly on mobile. You can leave the theme live if you are satisfied with this version."
"points","","Why didn't I receive points after filling out my birthday?","The birthday reward program requires that the birthday date be added or updated at least 30 days before the actual birthday to qualify for rewards. Since you updated your birthday today, you will not receive points for this birthday."
"widget","","Can my customers see their points and redeemable items after logging into their accounts?","Yes, customers need to log in to view their points and rewards. You can also add loyalty information, such as a loyalty dashboard or rewards redemption, to the customer account page. This feature is supported in the Advanced plan."
"points","","How can I modify the points balance for all users after changing the conversion rate?","To update the points balance for all existing customers based on the new conversion rate, go to the Customers section of the app and use the Import feature to upload the new points balances. During the import process, select the 'Reset existing customer balance' option. You can also include a note to explain the adjustment to customers. If you need assistance, you can send us the file with the new balances, and we can help with the import."
"points","","Can you enable the option to export the current list of customers and their points balances?","Yes, we can enable the export option for you. Once activated, you will be able to export the current list of customers along with their points balances, which you can use to update the balances if needed and then re-import into the app."
"points","","How can I re-sync points for all customers who did not receive points when the program was turned off?","You can request to re-sync points for all customers who have not received points during the time the program was off. Our team can process this for you."
"widget","","How can I modify the loyalty page to display 4 cards in a row?","To modify the loyalty page to display 4 cards in a row, you can request this change from our support team. They will consult with their team to implement the modification for you."
"widget","","How can I change the text of a section in the loyalty widget?","You can change the text by going to Settings > Translation in our app > Points Calculator section. If you want to hide the button, we can remove it for you using CSS."
"rewards","","How can a customer redeem their loyalty points?","Customers can redeem their loyalty points through the Loyalty widget and Blocks, which facilitate the redemption process on your store."
"integration","","How do I set up a Shopify Flow to award points for survey completions?","You need to create a Shopify Flow because the rewards program is specifically designed to be triggered via Shopify Flow. In the rewards settings, click the 'Create Shopify Flow' button, which will redirect you to the Shopify Flow app for immediate setup. Look for a trigger related to your form provider, such as SEA Survey or Zigpoll, and select the action: Joy - Add Points."
"bug","","Why are points not being awarded for survey completions?","Points may not be awarded if the rewards program is inactive or if the necessary Shopify Flow is not set up. Ensure that the program is activated and that you have created a Shopify Flow with the appropriate trigger for your survey provider."
"billing","","How can I downgrade to the free plan and resolve the billing issue?","To downgrade to the free plan, go to your app settings > Subscription > All Plans > downgrade to the Started plan. Since your advanced plan trial ended, the billing was automatically generated. For the current charge, please provide a screenshot of the Shopify bill showing the app charge, and I can assist with a refund request."
"widget","","How can I set up the loyalty program info on my account page?","To display loyalty program information on your account page, navigate to Onsite > Account Page within the Joy app. You can add blocks such as the Loyalty Dashboard, Rewards Redemption, and Referral Management by clicking 'Edit in Theme Editor' for each section. Make sure to add the app block to your theme in the Shopify Theme Editor for it to be visible."
"bug","","Why is the loyalty program information not showing on my account page?","If the loyalty program information is not appearing, ensure that you have added the app block to your theme in the Shopify Theme Editor. If you continue to experience issues, please grant collaborator access so we can investigate further."
"integration","","Can the app automatically detect customer purchases and prompt them to leave a review?","Currently, Joy does not offer a feature to automatically detect purchases and prompt reviews. However, it integrates with review applications like Judge.me, which allows customers to earn rewards for reviews submitted after purchases are completed."
"widget","","Can the Point Calculator block be displayed in one line on mobile?","Displaying the Point Calculator in a single line on mobile isn't feasible due to the large text size, which would require reducing the font size to fit. However, we can set it to display full width on mobile, which has been confirmed as acceptable."
"vip","","For partial refunds, will the amount accumulated for membership tier be retained?","Yes, our app deducts the amount spent of the customer when their orders are partially or fully refunded. This means that the accumulated amount for the membership tier will be adjusted accordingly."
"rewards","","How does the '$8 OFF First Online Order' program work?","The '$8 OFF First Online Order' discount code is unique and bound to a specific customer. New sign-ups receive the code via their loyalty widget or email if notifications are enabled. Currently, there are no specific anti-cheat measures for this program, but customers must sign up for an account to receive it."
"vip","","Why does a customer have 0 points after being upgraded to Curator?","The points may not have been assigned correctly due to a backend issue. You can manually adjust the points and add 5000 points for the customer, and our technical team will continue to monitor the situation to ensure it doesn't recur."
"integration","","Can I integrate Joy Loyalty with TikTok for customer follows?","Currently, Joy Loyalty supports giving points when customers click on the TikTok mission in the app. However, integration for rewarding points specifically for follows is not available at this time. For the best experience, it's recommended to view the app on a desktop."
"billing","","Is there any flexibility on the pricing plans for Joy Loyalty?","While we understand your concerns about the pricing, we strive to maintain fair pricing for our services. Unfortunately, we are unable to offer further discounts at this time. However, we are committed to helping you maximize the value of your current plan."
"rewards","","How can I apply a Joy discount code to an already placed order?","You cannot apply a discount code to an already-placed order. However, you can add a manual (custom) discount to individual line items by editing the order. To do this, go to Orders > Edit, select the product price, choose a discount type, and enter the amount. After that, you may need to disable the previously redeemed Joy discount code."
"integration","","Can I limit payment methods based on customer tiers in Joy Loyalty?","Currently, Joy Loyalty does not have a feature to limit payment methods for specific tiers. Payment methods are managed by Shopify, and Joy can only sync tier information as tags or metafields in the Shopify Customers section."
"widget","","How can I adjust the Joy Loyalty widget so it doesn't cover the cart drawer when open?","To adjust the Joy Loyalty widget so it is hidden behind the cart drawer when open, you will need to provide collaborator access to your Theme Editor. The support team can then modify the code to ensure the widget is hidden automatically when the cart drawer is opened."
"billing","","What happens after reaching the monthly order limit on the Starter plan?","The loyalty program will be temporarily disabled when the limit of 150 monthly free orders is reached."
"billing","","Will orders from customers without a Joy Loyalty account count towards the monthly order limit?","Yes, all orders will count towards the monthly limit to accurately track and distribute loyalty points and related data."
"billing","","Are there any discount codes available for the Essentials Plan?","Currently, we do not have any active discount codes for the subscription plans. However, the Essentials Plan is designed to provide high value at a very competitive price, giving you access to many earning rules and powerful loyalty features to boost your sales immediately."
"referral","","Is there any way for me to manually access or provide each customer’s referral code myself, without having to ask them to go to the website and get it on their own?","You can access the Customer Profile directly in our app. Within their information, you will find a Referral link. You can copy and send this link via email if you prefer not to have your customers log into the website to retrieve it themselves."
"points","","What are the ways in which a customer can gain credit and how much credit do they earn?","Customers can earn credit through various activities such as placing an order, signing up for an account, and following your Instagram page. The specific amount of credit earned can vary based on your program settings."
"referral","","How many points does a customer earn if someone buys using their referral code?","The points earned from a referral purchase depend on your referral program settings. You can review the specific details of the referral rewards in your app's referral section."
"bug","","Is there a limit on the number of customers I can import in the free version?","Yes, the free version has limitations on features, including customer import capabilities. If you're experiencing issues with customer names not appearing during searches, it may also be related to this limitation or a bug, which our team is currently investigating."
"bug","","Why can't I search for customers by name or email?","There seems to be a bug affecting the customer search functionality. Our team has been notified and is working on a fix. In the meantime, you can try searching for customers using their email address, but it appears that this may also not be functioning correctly."
"points","","Can I manually add points to a customer profile?","Yes, you can manually adjust points for customer profiles. If you need guidance on how to do this, please let me know."
"pos","","Does the popup for reward redemption show on the POS system?","Currently, the popup for reward redemption does not display on the POS system. It is only available for the online store."
"widget","","How can I change the position of the subscription widget on my store?","To change the position of the subscription widget, you will need to adjust the `main-product.liquid` file in your theme to ensure that the widget is rendered in the desired location, such as above the Add to Cart button. If you need further assistance with this customization, please contact your development team."
"bug","","Why is the Wishlist app configuration page not opening?","The issue with the Wishlist app configuration page not opening has been escalated to our development team for investigation due to its complexity. They will keep you updated on any progress. If you need immediate assistance, please let us know."
"vip","","How do I change the rewards in the tier?","To update the reward contents on the Loyalty page, go to On-site > Loyalty Page > VIP Tier Benefit. There, you can change the reward information for each tier."
"other","","How do I manually redeem coupon codes for a customer?","You can search for the customer on our list, open their profile, and click the button Redeem. If you have already manually applied the discount code to their draft order and want to clear it from their account, please confirm which activity you want to hide."
"integration","","Will adding customers who are not subscribed to the loyalty program cause synchronization issues?","No, adding customers who are not subscribed to the loyalty program will not affect synchronization. Our app automatically updates new accounts from the Shopify admin as usual."
"points","","Why do some guest customers have points but are not considered members?","Customers are marked as Guests because they have not yet logged in to their store customer account. Points may have been accrued from previous loyalty programs, but they need to create an account to be classified as Members."
"other","","How can I exclude B2B contacts from my loyalty program?","To exclude B2B contacts from your loyalty program, import your B2B contact list into Shopify Customers and assign them a specific tag (e.g., B2B). Then, navigate to Settings > Pre-launch in the Joy Loyalty app and use the Segment Exclusion feature to filter out customers with that specific tag. This will ensure they do not earn points or participate in the loyalty program."
"other","","What should I do if I find contacts without names in my list?","You should check those contacts in Shopify to see how they were created in the Shopify timeline. Make sure to add a tag to those contacts so they can be included in the excluded segment. If they are not tagged, they will not be excluded from the loyalty program."
"widget","","How can I show points on the customer account page for my loyalty program?","You can integrate the Loyalty block into the Account page, allowing customers to view their accumulated points, available rewards, and recent activities directly upon logging in. This setup encourages customers to earn and redeem points more actively. If you'd like to proceed with this integration, we can assist you further."
"billing","","Can I extend the validity of a discount code?","Currently, the option to extend the validity of discount codes is not supported. We recommend revoking the discount and then extending the expiration date within the redemption program. After that, the customer can redeem the offer again, or the redemption can be processed on their behalf."
"points","","Does the loyalty program operate independently of Shopify discount codes?","At the moment, loyalty rewards are created as Shopify discount codes, meaning they are governed by Shopify’s discount system. While full independence cannot be guaranteed, you can control whether rewards can be combined with other discounts by adjusting the discount combination settings in both our app and Shopify."
"widget","","Why do I only see one pop-up notification for multiple Rewards widget notifications?","The current setting you have enabled is the 'Unused discount' option, which triggers a pop-up when customers meet certain conditions. This feature is separate from email or push notifications. If you want to receive notifications about point redeeming, please check your settings to ensure they are configured correctly."
"bug","","Why am I not receiving notifications for point earned notifications for Instagram DMs?","The notifications for point earned are not being sent because the app is currently set to use Shopify Flows, but there are no active workflows set up for this action. We recommend switching to the built-in notification system within the app to ensure notifications are sent automatically."
"bug","","Why are my reward programs showing an error message on the POS when customers try to redeem their points?","The issue was likely due to the reward programs being set at a £0 value, which caused an error when customers attempted to redeem their points. Changing the value to £1 resolved the issue, allowing the redemption process to function correctly."
"bug","","Why are test emails not being delivered to my work email but are sent successfully to my personal Gmail account?","It seems there may be an issue with the email delivery to your work email hosted through Outlook. Since your personal Gmail account received the test emails without issue, I recommend checking with your email provider to see if there are any restrictions or issues on their end. Additionally, consider changing the email sender from the default to your own custom email sender to improve deliverability."
"other","","What permissions do I need to grant for the support team to investigate issues with guest customers receiving points?","You need to grant the Customer permission access to the Avada Support Account. This can be done by going to Shopify Admin > Settings > Users > Avada Support Account, enabling the 'Customers' option, and saving the changes. This will allow the development team to review the relevant customer data and identify the root cause of the issue."
"rewards","","What is the difference between dynamic redemption and fixed step discounts in Joy Loyalty?","Dynamic redemption allows customers to choose how many points to use, with the discount adjusting accordingly (e.g., 1 point = $0.1). In contrast, fixed step discounts involve preset rewards where customers exchange a set number of points for a predefined discount (e.g., 100 points = $10 off)."
"billing","","Quanto costa Joy e da quando cambia il prezzo?","Joy Loyalty offre 4 piani: Gratuito, Essential ($24,99/mese), Advanced ($99/mese) e Ultimate ($499/mese). Il piano gratuito è disponibile se il tuo ordine mensile è inferiore a 150 ordini, senza costi aggiuntivi. Puoi creare programmi base di guadagno e riscatto nel piano gratuito."
"billing","","Fino a quando è gratuito?","Il piano gratuito è disponibile se il tuo ordine mensile è inferiore a 150 ordini. Non ci saranno costi aggiuntivi per questo piano."
"points","","Is there a way to export all my customer's loyalty points to a csv?","Yes, it is possible to export all customer loyalty points to a CSV file. You can also do this directly from the Customers section in the app by selecting 'More actions' and then 'Export'."
"points","","Is it possible to get the new export csv list for today or up till now?","Yes, we can help you export all customers' points data up until today. Please allow a few minutes for the file to be sent to your email."
"other","","How do I export my customer list and points?","You can export your customer data to a file, and it will be sent to your email address. Additionally, an Export button has been enabled in the Customers section, which allows you to download the customer data list as a CSV file directly."
"other","","How can I get my customer data as a CSV that I can use?","To download your customer data as a CSV, you can use the Export button in the Customers section. If you're experiencing issues with the download, please ensure you're reloading the page to see the changes made."
"referral","","Can I send physical coupons to my loyalty customers for referrals?","Joy Loyalty does not currently offer a built-in feature to automatically generate or print physical referral cards. To track referrals, each card would need a unique referral link or QR code tied to a specific customer. Without this unique identifier, the system won't be able to track which loyal customer should receive reward points when their friend makes a purchase."
"widget","","Can we set the loyalty widget to show by default when the page opens?","Yes, you can configure the widget to not show as an instant popup. I have turned off the 'Instant popup' feature for you, allowing the widget to be displayed by default when the page opens. You can reload the website page to check the result."
"bug","","Why is the referral program showing an error when I try to follow through on a referral?","Please check your referral settings to confirm that the program is working properly. If you continue to experience issues, it may require further investigation to determine the cause of the error."
"widget","","How do I change the colors and fonts on my loyalty program page?","You can change the colors and fonts on your loyalty program page by accessing the custom CSS in the editor. For your specific changes, you can set the blue color to #FDCFAF and the pink buttons to #F79A7B, and capitalize the text as needed."
